./data_files/66°30.xls: 14031L0
   acronym  code  concentration
5     GELI    48         0.0100
7     ADDI     2         0.0100
8     MOUS    12         0.0300
9     ACTI    87         0.0067
10    MOUS    29         0.0800
12    ADDI    98         0.0045
14    MOUS    50         0.1000
16    HUME    16         0.0100
17    CONS    37         0.0020
19    ACTI    78         0.0050
20    ACTI   223         0.0100
22    PARF   302         0.0010
23    CONS    64         0.0040
24    MOUS    37         0.0050
25    FSOL    17         0.0010
26     EAU     8         0.0200
28    ACTI    73         0.0005
29    ACTI   533         0.0005

./data_files/14100 à 14300.xls: 14150L3
   acronym  code  concentration
3      EAU     8        0.59806
4     GELI    48        0.10000
6     ACTI    87        0.00670
7     MOUS    29        0.08000
9     ADDI    98        0.00624
11    MOUS    50        0.10000
12    ADDI     2        0.01000
13    MOUS    12        0.03000
15    HUME    16        0.01000
16    CONS    37        0.00200
17    PARF   302        0.00100
18    CONS    64        0.00400
19    MOUS    37        0.00500
20    FSOL    17        0.00100
22    ACTI    73        0.00050
23    ACTI   533        0.00050
24    MOUS    41        0.03000
25    ACTI    78        0.00500
26    ACTI   223        0.01000

./data_files/14100 à 14300.xls: 14150L4
   acronym  code  concentration
3      EAU     8        0.59856
4     GELI    48        0.10000
6     ACTI    87        0.00670
7     MOUS    29        0.08000
9     ADDI    98        0.00624
11    MOUS    50        0.10000
12    ADDI     2        0.01000
13    MOUS    12        0.03000
15    HUME    16        0.01000
16    CONS    37        0.00200
17    PARF   302        0.00050
18    CONS    64        0.00400
19    MOUS    37        0.00500
20    FSOL    17        0.00100
22    ACTI    73        0.00050
23    ACTI   533        0.00050
24    MOUS    41        0.03000
25    ACTI    78        0.00500
26    ACTI   223        0.01000

./data_files/14100 à 14300.xls: 14151L0
   acronym  code  concentration
3      EAU     8       0.869999
4     ADDI     3       0.000500
5     HUME     2       0.020000
6     GELI    80       0.008000
8     MOUS     9       0.020000
9     PARF   492       0.000500
11    CONS    37       0.003000
12    HUME    16       0.020000
13    CONS    23       0.001000
15     EAU     3       0.050000
16    ACTI    73       0.001000
17    ACTI   490       0.001000
18     SOL    24       0.000001
19    ACTI     4       0.005000

./data_files/14100 à 14300.xls: 14151L1
   acronym  code  concentration
3      EAU     8       0.869766
4     ADDI     3       0.000500
5     FSOL     6       0.000500
6     HUME     2       0.020000
7     GELI    80       0.008000
9     MOUS     9       0.020000
10    PARF   492       0.000200
12    CONS    37       0.003000
13    HUME    16       0.020000
14    CONS    23       0.001000
16     EAU     3       0.050000
17    ACTI    73       0.001000
18    ACTI   490       0.001000
19     SOL     9       0.000025
20     SOL    24       0.000009
21    ACTI     4       0.005000

./data_files/14100 à 14300.xls: 14152L0
   acronym  code  concentration
3      EAU     4        0.74501
4     HUME     2        0.03000
5     GELI    68        0.00300
7     ADDI    98        0.00099
9     EMUL     3        0.00300
10    CGRA    15        0.00600
11    CGRA     1        0.00500
12    HUIL    18        0.03000
13    SILI     7        0.05000
15    CONS    37        0.00300
16    CONS    23        0.00100
17    HUME    16        0.02000
19    ACTI   120        0.03000
20    ACTI   207        0.04000
21    ACTI     4        0.02000
22    ACTI    73        0.00100
23    ACTI   490        0.01000
24    PARF   102        0.00120
25     SOL     9        0.00017
26     SOL    24        0.00010
27    GELI    15        0.00770

./data_files/14100 à 14300.xls: 14152L1
   acronym  code  concentration
3      EAU     4        0.74501
4     HUME     2        0.03000
5     GELI    68        0.00300
7     ADDI    98        0.00099
9     EMUL     3        0.00300
10    CGRA    15        0.00600
11    CGRA     1        0.00500
12    HUIL    18        0.03000
13    SILI     7        0.05000
15    CONS    37        0.00300
16    CONS    23        0.00100
17    HUME    16        0.02000
19    ACTI   120        0.03000
20    ACTI   207        0.04000
21    ACTI     4        0.02000
22    ACTI    73        0.00100
23    ACTI   490        0.01000
24    PARF   102        0.00050
25     SOL     9        0.00017
26     SOL    24        0.00010
27    GELI    15        0.00770

./data_files/14100 à 14300.xls: 14153L0
   acronym  code  concentration
3      EAU     4         0.6265
4     ACTI   270         0.0030
5     GELI    17         0.0030
6     HUME     2         0.0500
7     ADDI     3         0.0005
9     EMUL     3         0.0500
10    HUIL    18         0.0200
11    CGRA     1         0.0100
12     ABC   120         0.0200
13    HUIL    36         0.0300
14    HUIL   174         0.0300
15    HUIL     4         0.0200
16    SILI     7         0.0200
18    ADDI    98         0.0006
20    HUME    16         0.0100
21    CONS    37         0.0030
22    CONS    23         0.0010
24     EAU     4         0.0500
25    ACTI     4         0.0200
27    ACTI    73         0.0010
28    ACTI   490         0.0100
29    ACTI   858         0.0200
30     SOL     9         0.0001
31     SOL    24         0.0003
32    PARF   102         0.0010

./data_files/14100 à 14300.xls: 14153L1
   acronym  code  concentration
3      EAU     4         0.6036
4     ACTI   270         0.0030
5     GELI    17         0.0050
