acronym,code,concentration
EAU,4,0.713
HUME,5,0.03
CONS,10,0.008
GELI,15,0.027
SILI,3,0.02
SILI,14,0.07
ACTI,31,0.002
EAU,7,0.01
ACTI,282,0.01
EXTR,108,0.03
ACTI,589,0.05
ACTI,840,0.03
EAU,4,0.713
HUME,5,0.03
CONS,10,0.008
GELI,15,0.027
SILI,3,0.02
SILI,14,0.04
ACTI,31,0.002
EAU,7,0.04
ACTI,282,0.01
EXTR,108,0.03
ACTI,589,0.05
ACTI,840,0.03
EAU,10,0.945963
MOUS,4,0.04
MOUS,27,0.002
CONS,1,0.006
PARF,330,0.006
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.955963
MOUS,4,0.03
MOUS,27,0.006
CONS,1,0.006
PARF,330,0.002
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.954963
MOUS,4,0.03
MOUS,27,0.008
CONS,1,0.006
PARF,330,0.001
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.946963
MOUS,4,0.03
MOUS,27,0.008
MOUS,37,0.008
CONS,1,0.006
PARF,330,0.001
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.946763
MOUS,2,0.03
MOUS,27,0.008
MOUS,37,0.008
CONS,1,0.006
PARF,270,0.0012
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.946763
MOUS,4,0.04
CONS,1,0.006
MOUS,27,0.005
MOUS,37,0.0015
PARF,270,0.0007
SOL,5,1.1e-05
SOL,9,2.6e-05
EAU,10,0.948674001
HUM,2,0.015
MOUS,4,0.02
CONS,1,0.006
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,1.8333e-05
SOL,9,0.000107666
EAU,10,0.933674001
HUM,2,0.03
CONS,1,0.006
MOUS,4,0.02
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,1.8333e-05
SOL,9,0.000107666
EAU,10,0.929674001
HUM,2,0.03
CONS,61,0.004
CONS,1,0.006
MOUS,4,0.02
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,1.8333e-05
SOL,9,0.000107666
EAU,10,0.930174001
HUM,2,0.03
CONS,12,0.0025
MOUS,4,0.02
CONS,1,0.006
MOUS,27,0.005
CONS,11,0.001
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,1.8333e-05
SOL,9,0.000107666
EAU,10,0.930651301
HUM,2,0.03
CONS,1,0.009
MOUS,4,0.02
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,4.1033e-05
SOL,9,0.000107666
EAU,10,0.919651301
HUM,2,0.03
CONS,1,0.02
MOUS,4,0.02
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,4.1033e-05
SOL,9,0.000107666
EAU,10,0.914651301
HUM,2,0.03
CONS,1,0.025
MOUS,4,0.02
MOUS,27,0.005
MOUS,37,0.0045
PARF,270,0.0007
SOL,5,4.1033e-05
SOL,9,0.000107666
EAU,10,0.923374
ACTI,270,0.002
HUME,2,0.03
MOUS,2,0.02
MOUS,27,0.003
CONS,61,0.007
MOUS,37,0.0045
EXTR,290,0.01
SOL,5,1.8e-05
SOL,9,0.000108
EAU,10,0.927374
ACTI,270,0.002
HUME,2,0.03
MOUS,2,0.02
MOUS,27,0.003
CONS,78,0.003
MOUS,37,0.0045
EXTR,290,0.01
SOL,5,1.8e-05
SOL,9,0.000108
EAU,10,0.921374
ACTI,270,0.002
HUME,2,0.03
MOUS,2,0.02
MOUS,27,0.005
CONS,61,0.007
MOUS,37,0.0045
EXTR,296,0.01
SOL,5,1.8e-05
SOL,9,0.000108
EAU,10,0.929374
CONS,78,0.003
HUME,2,0.03
MOUS,2,0.02
MOUS,27,0.003
MOUS,37,0.0045
EXTR,296,0.01
SOL,5,1.8e-05
SOL,9,0.000108
EAU,4,0.71995
HUME,5,0.03
GELI,15,0.027
SILI,14,0.07
SILI,3,0.02
CGRA,1,0.03
ACTI,1052,0.01
CONS,10,0.008
ACTI,88,0.005
EAU,3,0.05
EXTR,2,5e-05
EAU,3,0.03
EAU,4,0.7975
EXTR,2,0.001
HUME,5,0.03
GELI,15,0.027
HUIL,24,0.01
CGRA,1,0.03
SILI,14,0.06
SILI,3,0.02
CONS,10,0.008
PARF,297,0.0015
ACTI,1052,0.01
ACTI,88,0.005
EAU,4,0.7975
EXTR,2,0.001
HUME,5,0.03
HUIL,24,0.01
CGRA,1,0.03
SILI,14,0.06
SILI,3,0.02
ACTI,88,0.005
GELI,15,0.027
CONS,10,0.008
PARF,297,0.0015
ACTI,1052,0.01
EAU,4,0.794
EXTR,2,0.001
ACTI,270,0.003
HUME,5,0.03
HUIL,24,0.01
CGRA,1,0.03
SILI,14,0.0575
SILI,3,0.02
ACTI,88,0.005
GELI,15,0.027
CONS,37,0.003
CONS,11,0.008
PARF,297,0.0015
ACTI,1052,0.01
EAU,4,0.7935
EXTR,2,0.001
HUME,5,0.03
HUIL,24,0.01
CGRA,1,0.03
SILI,14,0.055
SILI,3,0.02
ACTI,88,0.005
GELI,15,0.027
CONS,37,0.003
CONS,11,0.01
CONS,79,0.004
PARF,297,0.0015
ACTI,1052,0.01
EAU,7,0.8885
HUME,5,0.05
EXTR,2,0.002
GELI,22,0.005
MOUS,37,0.03
HUIL,24,0.0005
PARF,297,0.0015
CONS,37,0.0015
CONS,10,0.006
ACTI,1052,0.01
ACTI,88,0.005
EAU,7,0.8885
HUME,5,0.05
EXTR,2,0.002
GELI,22,0.005
ACTI,88,0.005
MOUS,37,0.03
HUIL,24,0.0005
PARF,297,0.0015
CONS,37,0.0015
CONS,10,0.006
ACTI,1052,0.01
EAU,7,0.902
ACTI,270,0.003
HUME,5,0.03
EXTR,2,0.002
GELI,22,0.005
ACTI,88,0.005
MOUS,37,0.03
HUIL,24,0.0005
PARF,297,0.0015
CONS,37,0.003
CONS,10,0.008
ACTI,1052,0.01
EAU,7,0.899
HUME,5,0.03
EXTR,2,0.002
GELI,22,0.005
ACTI,88,0.005
MOUS,37,0.03
HUIL,24,0.0005
PARF,297,0.0015
CONS,37,0.003
CONS,10,0.01
CONS,79,0.004
ACTI,1052,0.01
EAU,4,0.4605
HUME,2,0.05
ADDI,3,0.0005
GELI,7,0.002
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.03
SILI,3,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ADDI,17,0.005
ACTI,207,0.05
EAU,4,0.03
ACTI,856,0.001
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
EAU,4,0.49649999999999994
HUME,2,0.05
ADDI,3,0.0005
GELI,7,0.001
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,3,0.01
CGRA,23,0.005
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ADDI,17,0.005
ACTI,207,0.05
EAU,4,0.03
ACTI,856,0.001
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
EAU,4,0.4225
HUME,2,0.05
ADDI,3,0.0005
GELI,7,0.001
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,28,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ADDI,17,0.005
ACTI,207,0.05
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
ACTI,90,0.03
ACTI,602,0.03
ACTI,1104,0.03
EAU,4,0.4165
HUME,2,0.05
ADDI,3,0.0005
GELI,79,0.005
GELI,55,0.002
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,28,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ADDI,17,0.005
ACTI,207,0.05
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
ACTI,90,0.03
ACTI,602,0.03
ACTI,1104,0.03
EAU,4,0.4165
HUME,2,0.05
ADDI,3,0.0005
GELI,79,0.005
GELI,80,0.002
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,28,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ADDI,17,0.005
ACTI,207,0.05
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
ACTI,90,0.03
ACTI,602,0.03
ACTI,1104,0.03
EAU,4,0.4195
HUME,2,0.05
ADDI,3,0.0005
GELI,79,0.005
GELI,80,0.004
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,28,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ACTI,207,0.05
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
ACTI,90,0.03
ACTI,602,0.03
ACTI,1104,0.03
EAU,4,0.4205
HUME,2,0.05
ADDI,3,0.0005
GELI,79,0.005
GELI,55,0.002
HUIL,3,0.05
HUIL,20,0.04
CGRA,581,0.04
CGRA,1,0.01
SILI,28,0.01
CGRA,23,0.02
EMUL,51,0.015
HUIL,95,0.01
ACTI,798,0.005
ACTI,207,0.05
ADDI,17,0.001
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
HUME,17,0.07
CONS,61,0.008
CONS,37,0.003
SOLV,2,0.03
ACTI,90,0.03
ACTI,602,0.03
ACTI,1104,0.03
EAU,4,0.6355
HUIL,50,0.05
ADDI,3,0.0005
HUME,2,0.03
GELI,7,0.003
CGRA,1,0.015
HUIL,3,0.015
HUIL,18,0.015
CGRA,6,0.015
CGRA,48,0.03
CGRA,15,0.005
HUIL,183,0.02
SILI,37,0.02
ACTI,44,0.005
ADDI,17,0.005
HUME,17,0.05
CONS,61,0.008
CONS,37,0.003
ACTI,365,0.01
ACTI,364,0.03
ACTI,323,0.03
PARF,327,0.005
EAU,4,0.6105
HUIL,50,0.05
ADDI,3,0.0005
HUME,2,0.03
GELI,7,0.003
CGRA,1,0.03
EMUL,3,0.01
HUIL,3,0.015
HUIL,18,0.015
CGRA,6,0.015
CGRA,48,0.03
CGRA,15,0.005
HUIL,183,0.02
SILI,37,0.02
ACTI,44,0.005
ADDI,17,0.005
HUME,17,0.05
CONS,61,0.008
CONS,37,0.003
ACTI,365,0.01
ACTI,364,0.03
ACTI,323,0.03
PARF,327,0.005
EAU,4,0.6
HUIL,50,0.05
ADDI,3,0.0005
HUME,2,0.03
GELI,7,0.0015
CGRA,1,0.01
EMUL,3,0.002
EMUL,53,0.05
HUIL,3,0.015
HUIL,18,0.015
CGRA,6,0.005
CGRA,48,0.03
CGRA,15,0.005
HUIL,183,0.02
SILI,37,0.02
ACTI,44,0.005
ADDI,17,0.005
HUME,17,0.05
CONS,61,0.008
CONS,37,0.003
ACTI,365,0.01
ACTI,364,0.03
ACTI,323,0.03
PARF,327,0.005
EAU,4,0.6229
CONS,10,0.002
HUME,2,0.05
ADDI,3,0.0002
GELI,17,0.005
ADDI,28,0.05
ADDI,10,0.0014
EMUL,30,0.01
HUIL,21,0.07
EMUL,29,0.01
EMUL,31,0.03
CGRA,1,0.03
SILI,3,0.02
HUIL,4,0.01
CONS,11,0.002
CONS,10,0.004
ADDI,17,0.005
ACTI,364,0.03
ACTI,365,0.01
ACTI,323,0.03
PARF,327,0.0075
EAU,4,0.6019
CONS,10,0.002
HUME,2,0.05
ADDI,3,0.0002
GELI,17,0.005
ADDI,28,0.05
ADDI,10,0.0014
EMUL,30,0.01
HUIL,21,0.07
EMUL,29,0.01
EMUL,31,0.03
CGRA,1,0.03
SILI,3,0.02
HUIL,4,0.01
CONS,11,0.002
CONS,10,0.004
ADDI,17,0.005
ACTI,365,0.005
ACTI,364,0.015
ACTI,323,0.015
PARF,327,0.0075
ACTI,90,0.03
ACTI,1105,0.02
ACTI,775,0.006
EAU,4,0.603
CONS,10,0.002
HUME,2,0.05
ADDI,3,0.0002
GELI,17,0.005
ADDI,28,0.05
ADDI,10,0.0014
EMUL,30,0.01
HUIL,21,0.07
EMUL,29,0.01
EMUL,31,0.03
CGRA,1,0.03
SILI,3,0.02
HUIL,4,0.01
CONS,11,0.002
CONS,10,0.004
ADDI,17,0.0014
ACTI,365,0.005
ACTI,364,0.015
ACTI,323,0.015
PARF,327,0.01
ACTI,90,0.03
ACTI,1105,0.02
ACTI,775,0.006
CONS,25,0.003
HUME,23,0.02
GELI,68,0.004
EAU,6,0.70455
ADDI,17,0.00895
HUIL,36,0.025
HUIL,13,0.06
HUIL,24,0.01
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
CGRA,15,0.014
EMUL,3,0.02
CGRA,1,0.005
CONS,22,0.0005
ACTI,115,0.05
PARF,410,0.002
CONS,25,0.003
HUME,23,0.02
GELI,68,0.004
EAU,6,0.70455
ADDI,17,0.00895
HUIL,36,0.025
HUIL,13,0.06
HUIL,24,0.01
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
CGRA,15,0.014
EMUL,3,0.02
CGRA,1,0.005
CONS,22,0.0005
PARF,410,0.002
ACTI,115,0.05
ACTI,478,0.01
CONS,25,0.003
HUME,23,0.02
GELI,68,0.004
EAU,6,0.69755
ADDI,17,0.00895
HUIL,36,0.025
HUIL,13,0.06
HUIL,24,0.01
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
CGRA,15,0.014
EMUL,3,0.02
CGRA,1,0.005
PARF,410,0.002
CONS,22,0.0005
ACTI,478,0.01
ACTI,115,0.05
EAU,4,0.7383
ADDI,3,0.0005
HUME,2,0.02
GELI,17,0.004
EMUL,1,0.02
HUIL,174,0.04
SILI,28,0.01
CGRA,1,0.03
HUIL,4,0.05
ACTI,469,0.04
ADDI,98,0.0008
ABC,15,0.0099
EXTR,324,2.5e-05
PARF,377,0.0005
ACTI,543,0.02
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
EAU,9,0.8473
GELI,59,0.0015
HUME,2,0.04
HUME,4,0.01
VITA,512,0.0005
CONS,54,0.005
HUME,9,0.01
CONS,23,0.001
CONS,37,0.003
MOUS,25,0.01
PARF,424,0.0015
ACTI,439,0.01
EXTR,207,0.01
EXTR,118,0.01
EXTR,60,0.02
ACTI,384,0.005
EXTR,65,0.01
ACTI,234,0.005
EXTR,182,0.0002
EAU,9,0.8543
GELI,55,0.001
GELI,59,0.0035
HUME,2,0.04
VITA,512,0.0005
CONS,54,0.005
HUME,9,0.02
CONS,23,0.001
CONS,37,0.003
MOUS,25,0.01
PARF,424,0.0015
EXTR,207,0.01
EXTR,118,0.01
EXTR,60,0.02
ACTI,384,0.005
EXTR,65,0.01
ACTI,234,0.005
EXTR,182,0.0002
EAU,9,0.8635
GELI,55,0.001
GELI,59,0.004
HUME,2,0.04
VITA,512,0.0005
CONS,54,0.005
HUME,9,0.02
CONS,23,0.001
CONS,37,0.003
MOUS,25,0.01
PARF,424,0.0018
EXTR,207,0.01
EXTR,60,0.02
ACTI,384,0.005
EXTR,65,0.01
ACTI,234,0.005
EXTR,182,0.0002
EAU,10,0.87602
GELI,55,0.001
GELI,59,0.004
HUME,2,0.04
VITA,512,0.0005
CONS,54,0.005
HUME,9,0.02
CONS,23,0.001
CONS,37,0.003
MOUS,25,0.01
PARF,424,0.0018
EXTR,207,0.01
EXTR,382,0.02
ACTI,384,0.005
ACTI,234,0.002
EXTR,182,0.0002
ACTI,635,0.0002
ADDI,98,0.00028
EAU,10,0.87585
GELI,55,0.001
GELI,59,0.004
HUME,2,0.04
VITA,512,0.0005
CONS,54,0.005
HUME,9,0.02
CONS,23,0.001
CONS,37,0.003
MOUS,25,0.01
PARF,424,0.0018
EXTR,207,0.01
EXTR,382,0.02
ACTI,384,0.005
ACTI,234,0.002
EXTR,182,0.0002
ACTI,635,0.0002
ADDI,98,0.00045
EAU,8,0.738575
GELI,15,0.02
EAU,8,0.1
ACTI,278,0.01
ACTI,626,0.03
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,469,0.04
SILI,9,0.02
MOUS,9,0.005
PARF,377,0.0005
HUME,16,0.02
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
HUIL,84,0.074446
HUIL,54,0.05
HUIL,40,0.05
HUIL,19,0.03
HUIL,1,0.158554
HUIL,18,0.125
ACTI,44,0.005
FSOL,48,0.08
FSOL,5,0.065
SILI,35,0.06
FSOL,3,0.03
FSOL,23,0.03
FSOL,58,0.01
FSOL,62,0.02
SOLV,2,0.155
HUIL,165,0.003
HUIL,16,0.05
PARF,410,0.004
HUIL,84,0.074446
HUIL,54,0.05
HUIL,40,0.05
HUIL,19,0.03
HUIL,1,0.188554
HUIL,18,0.125
ACTI,44,0.005
FSOL,48,0.08
FSOL,5,0.065
SILI,35,0.06
FSOL,3,0.03
FSOL,23,0.03
SOLV,2,0.155
HUIL,165,0.003
HUIL,16,0.05
PARF,410,0.004
HUIL,84,0.074446
HUIL,54,0.05
HUIL,40,0.05
HUIL,19,0.03
HUIL,1,0.193054
HUIL,18,0.125
FSOL,48,0.08
FSOL,5,0.065
SILI,35,0.06
FSOL,3,0.03
FSOL,23,0.03
SOLV,2,0.155
HUIL,165,0.003
HUIL,16,0.05
PARF,410,0.0045
HUIL,84,0.074446
HUIL,54,0.05
HUIL,40,0.05
HUIL,19,0.03
HUIL,1,0.193054
HUIL,18,0.105
FSOL,48,0.1
FSOL,5,0.085
SILI,35,0.06
FSOL,3,0.03
FSOL,23,0.03
SOLV,2,0.135
HUIL,165,0.003
HUIL,16,0.05
PARF,410,0.0045
HUIL,18,0.097
HUIL,54,0.1
CGRA,581,0.0525
HUIL,1,0.07
CGRA,527,0.04
CGRA,52,0.05
CGRA,4,0.08
CGRA,552,0.06
CGRA,512,0.08
CGRA,15,0.03
FSOL,24,0.18
FSOL,14,0.08
HUIL,35,0.03
ACTI,207,0.02
ACTI,120,0.03
ACTI,17,0.0005
HUIL,18,0.097
HUIL,54,0.1
CGRA,581,0.1125
HUIL,1,0.07
CGRA,527,0.04
CGRA,52,0.05
CGRA,4,0.06
CGRA,552,0.05
CGRA,512,0.05
CGRA,15,0.03
FSOL,24,0.18
FSOL,14,0.08
HUIL,35,0.03
ACTI,207,0.02
ACTI,120,0.03
ACTI,17,0.0005
FSOL,5,0.0745
HUIL,16,0.03
FSOL,48,0.1
FSOL,1,0.05
FSOL,3,0.03
FSOL,23,0.05
ACTI,204,0.01
ACTI,334,0.04
SOLV,2,0.601
GELI,93,0.0125
PARF,410,0.002
FSOL,5,0.085
HUIL,16,0.03
FSOL,48,0.1
FSOL,3,0.04
FSOL,23,0.05
SOLV,2,0.6105
ACTI,334,0.04
GELI,93,0.0125
PARF,410,0.002
HUIL,1,0.03
FSOL,5,0.085
HUIL,16,0.03
FSOL,48,0.1
FSOL,3,0.04
FSOL,23,0.05
SOLV,2,0.6405
ACTI,334,0.04
GELI,93,0.0125
PARF,410,0.002
ADDI,503,0.03
HUIL,18,0.105
HUIL,84,0.075
HUIL,54,0.05
HUIL,40,0.05
HUIL,19,0.0705
HUIL,1,0.25
FSOL,48,0.1
FSOL,5,0.085
SILI,35,0.06
FSOL,3,0.03
FSOL,23,0.03
HUIL,9,0.01
HUIL,16,0.05
PARF,410,0.0045
EAU,4,0.5695
FSOL,13,0.03
ADDI,98,0.0045
HUME,2,0.02
ADDI,3,0.002
GELI,59,0.003
GELI,43,0.006
EMUL,77,0.06
EMUL,123,0.01
CGRA,581,0.03
FSOL,3,0.02
FSOL,48,0.02
FSOL,5,0.06
HUIL,18,0.05
HUME,16,0.01
CONS,54,0.01
CONS,37,0.003
SOLV,2,0.05
ACTI,334,0.04
PARF,410,0.002
EAU,4,0.4955
FSOL,13,0.03
ADDI,98,0.0045
HUME,2,0.02
ADDI,3,0.002
GELI,59,0.003
EMUL,77,0.06
EMUL,123,0.01
CGRA,581,0.03
FSOL,3,0.03
FSOL,48,0.06
FSOL,5,0.07
HUIL,18,0.05
HUME,16,0.01
CONS,54,0.01
CONS,37,0.003
GELI,29,0.02
SOLV,2,0.05
ACTI,334,0.04
PARF,410,0.002
ADDI,503,0.08
HUIL,18,0.065
HUIL,84,0.075
HUIL,54,0.05
HUIL,19,0.0705
HUIL,1,0.05
FSOL,48,0.1
FSOL,5,0.085
SILI,35,0.06
FSOL,3,0.05
FSOL,23,0.05
HUIL,9,0.01
HUIL,16,0.05
PARF,410,0.0045
HUIL,1,0.2
FSOL,5,0.085
HUIL,16,0.1605
FSOL,48,0.1
FSOL,1,0.05
FSOL,3,0.05
FSOL,23,0.05
SOLV,2,0.45
ACTI,334,0.04
GELI,93,0.0125
PARF,410,0.002
FSOL,5,0.085
HUIL,16,0.1305
FSOL,48,0.1
FSOL,1,0.05
FSOL,3,0.05
FSOL,23,0.05
SOLV,2,0.52
GELI,93,0.0125
PARF,410,0.002
FSOL,5,0.085
HUIL,16,0.2305
FSOL,48,0.1
FSOL,1,0.05
FSOL,3,0.05
FSOL,23,0.05
SOLV,2,0.42
GELI,93,0.0125
PARF,410,0.002
FSOL,5,0.085
HUIL,16,0.128
FSOL,48,0.1
FSOL,1,0.05
FSOL,3,0.05
FSOL,23,0.05
SOLV,2,0.52
GELI,93,0.015
PARF,410,0.002
EAU,4,0.61859
CONS,10,0.008
GELI,18,0.0015
GELI,43,0.003
ADDI,17,0.0042
HUIL,36,0.025
HUIL,13,0.07
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
CGRA,15,0.014
EMUL,3,0.025
CGRA,1,0.01
ACTI,17,0.02
FSOL,5,0.02
ACTI,264,0.03
ACTI,115,0.05
PARF,410,0.001
CONS,37,0.002
HUME,23,0.02
ADDI,17,0.00471
EAU,4,0.62649
CONS,10,0.008
GELI,18,0.0015
HUIL,36,0.025
HUIL,13,0.07
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
EMUL,3,0.025
CGRA,1,0.01
ACTI,17,0.02
CGRA,14,0.015
FSOL,5,0.02
ACTI,264,0.03
ACTI,115,0.05
PARF,410,0.001
CONS,37,0.002
HUME,23,0.02
EAU,4,0.62349
CONS,10,0.008
GELI,80,0.006
GELI,18,0.0015
HUIL,36,0.025
HUIL,13,0.07
HUIL,19,0.015
HUIL,35,0.035
EMUL,28,0.023
EMUL,3,0.025
CGRA,1,0.01
ACTI,17,0.02
CGRA,14,0.015
FSOL,5,0.02
ACTI,264,0.03
ACTI,115,0.05
PARF,410,0.001
CONS,37,0.002
HUME,23,0.02
EAU,4,0.5578
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0
GELI,12,0.002
EMUL,1,0.007
EMUL,77,0.06
EMUL,123,0.01
CGRA,14,0.005
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,2,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.001
EAU,4,0.5578
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0
GELI,41,0.004
GELI,23,0.005
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.5578
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0
GELI,25,0.004
GELI,23,0.005
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.5267999999999999
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0
GELI,25,0.005
GELI,23,0.005
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.5267999999999999
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0
GELI,41,0.003
GELI,23,0.007
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.515
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0048
GELI,41,0.01
GELI,23,0.007
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.515
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0048
GELI,41,0.018
GELI,23,0.009
HUIL,1,0.04
EMUL,77,0.05
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.501
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0048
GELI,41,0.018
GELI,23,0.013
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.509
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0048
GELI,23,0.018
EMUL,1,0.005
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.519
ADDI,3,0.001
CONS,12,0.002
FSOL,13,0.03
ADDI,98,0.0048
GELI,25,0.008
EMUL,1,0.005
HUIL,1,0.04
EMUL,77,0.06
CONS,3,0.0002
FSOL,48,0.1
FSOL,1,0.04
FSOL,3,0.04
FSOL,22,0.04
SILI,29,0.05
CONS,10,0.009
CONS,37,0.003
ACTI,204,0.001
ACTI,205,0.001
ACTI,334,0.04
PARF,410,0.006
EAU,4,0.5498
ADDI,3,0.001
FSOL,13,0.03
ADDI,98,0.0
GELI,12,0.002
GELI,41,0.005
GELI,23,0.005
EMUL,1,0.005
EMUL,77,0.06
EMUL,123,0.01
CGRA,14,0.005
