acronym,code,concentration
ADDI,3,0.0005
HUME,2,0.03
HUME,23,0.03
ACTI,878,0.005
GELI,17,0.005
ADDI,98,0.001
GELI,15,0.015
SILI,48,0.025
SILI,23,0.02
SILI,7,0.05
HUME,16,0.02
CONS,37,0.003
CONS,23,0.001
ACTI,31,0.0005
EAU,3,0.05
ACTI,800,0.03
ACTI,412,0.03
ACTI,488,0.01
ACTI,175,0.01
ACTI,662,0.02
ACTI,659,0.04
ACTI,739,0.0025
ACTI,481,0.0025
ACTI,667,0.008
ADDI,1,0.00149
EAU,8,0.852075
ACTI,278,0.01
ACTI,543,0.02
GELI,18,0.002
ABC,1,0.05
HUME,2,0.03
ABC,15,0.0099
EXTR,324,2.5e-05
HUME,16,0.02
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
EAU,13,0.578075
ACTI,270,0.003
ADDI,27,0.08
ADDI,10,0.02
ADDI,17,0.005
CGRA,15,0.08
CGRA,556,0.05
HUIL,13,0.1
ABC,12,0.03
ACTI,469,0.01
ADDI,2,0.002
HUME,16,0.01
CONS,23,0.001
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,543,0.02
PARF,415,0.001
EAU,8,0.838075
ACTI,278,0.01
ACTI,626,0.03
GELI,15,0.02
ABC,15,0.0099
EXTR,324,2.5e-05
ACTI,469,0.04
SILI,9,0.02
MOUS,9,0.005
PARF,377,0.001
HUME,16,0.02
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
EAU,8,0.862108
HUME,2,0.05
HUME,7,0.05
ABC,56,0.001
GELI,17,0.002
ADDI,98,0.0004
ABC,67,0.001
HUME,17,0.00099
EXTR,324,3e-06
MOUS,9,0.01
PARF,372,0.0005
HUME,16,0.015
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
ACTI,543,0.001
EAU,5,0.771475
ADDI,3,0.0005
HUME,2,0.05
GELI,80,0.006
ABC,12,0.05
ACTI,469,0.04
HUIL,174,0.02
SILI,48,0.01
ACTI,543,0.02
HUME,17,0.01
EXTR,324,2.5e-05
PARF,382,0.001
HUME,16,0.015
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
EAU,4,0.787775
ADDI,3,0.0005
HUME,2,0.02
GELI,17,0.004
EMUL,1,0.02
HUIL,174,0.02
SILI,3,0.01
ABC,116,0.03
HUIL,4,0.02
ACTI,469,0.04
ADDI,98,0.0008
ABC,15,0.0099
EXTR,324,2.5e-05
PARF,376,0.001
ACTI,543,0.02
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
EAU,4,0.608975
GELI,17,0.003
HUME,2,0.08
ABC,56,0.01
ADDI,3,0.0005
EMUL,3,0.05
ABC,120,0.02
HUIL,36,0.03
HUIL,174,0.05
ABC,12,0.02
HUIL,4,0.02
ACTI,469,0.04
SILI,7,0.02
ADDI,98,0.0006
EXTR,324,2.5e-05
ABC,15,0.0099
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
PARF,496,0.001
ACTI,543,0.02
EAU,5,0.8344
ADDI,3,0.0005
GELI,17,0.004
HUME,2,0.03
HUME,7,0.03
ADDI,17,0.004
CONS,37,0.003
HUME,16,0.01
CONS,23,0.001
CONS,64,0.002
ACTI,31,0.0001
EAU,5,0.03
SILI,9,0.01
PARF,401,0.001
MOUS,9,0.01
EXTR,182,0.005
ACTI,444,0.001
ACTI,736,0.005
ACTI,835,0.01
ACTI,748,0.005
ACTI,1086,0.001
ACTI,1087,0.001
ACTI,1088,0.001
ACTI,1089,0.001
EAU,4,0.3635
ACTI,31,0.005
ABC,112,0.01
MOUS,9,0.005
ABC,179,0.0005
CONS,37,0.003
CONS,23,0.001
CONS,64,0.002
HUME,16,0.01
ACTI,834,0.6
EAU,5,0.6398999999999999
GELI,80,0.012
EAU,5,0.2
ACTI,505,0.03
ACTI,414,0.02
ACTI,4,0.02
ABC,56,0.02
ACTI,73,0.01
ACTI,490,0.01
EXTR,324,0.0001
HUME,17,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
CONS,64,0.002
MOUS,9,0.01
PARF,377,0.001
ACTI,43,0.001
EAU,7,0.785
ACTI,505,0.03
ACTI,278,0.02
GELI,15,0.02
SILI,9,0.02
CONS,84,0.01
EXTR,795,0.1
HUME,18,0.005
ABC,106,0.0001
HUME,17,0.0099
ADDI,123,0.755
GELI,92,0.1
ADDI,125,0.015
ADDI,127,0.07
GELI,75,0.03
COLO,93,0.015
ADDI,123,0.7344999999999999
GELI,92,0.1
ADDI,125,0.015
ADDI,127,0.07
GELI,75,0.03
COLO,93,0.03
ADDI,123,0.7222
GELI,92,0.1
ADDI,125,0.01
ADDI,127,0.07
GELI,75,0.03
COLO,548,0.005
COLO,93,0.04
ADDI,123,0.69998
GELI,92,0.1
ADDI,125,0.01
ADDI,127,0.08
GELI,75,0.03
ADDI,123,0.7699
GELI,92,0.1
ADDI,127,0.08
ADDI,125,0.01
GELI,75,0.03
ACTI,779,0.0001
EAU,4,0.63308
ADDI,3,0.001
FSOL,55,0.04
HUME,5,0.03
GELI,12,0.002
EMUL,1,0.005
FSOL,62,0.03
EMUL,77,0.06
EMUL,123,0.01
CGRA,14,0.005
FSOL,48,0.03
FSOL,5,0.065
SILI,12,0.02
SILI,29,0.04
ADDI,98,0.00042
HUME,16,0.01
CONS,23,0.001
CONS,56,0.003
CONS,37,0.003
ACTI,800,0.01
PEG,2,0.0015
EAU,4,0.70804
ADDI,3,0.0005
HUME,2,0.03
GELI,7,0.001
CGRA,1,0.03
EMUL,11,0.02
HUIL,3,0.035
HUIL,18,0.005
CGRA,6,0.021
CGRA,48,0.03
CGRA,15,0.005
HUIL,183,0.005
SILI,37,0.03
ACTI,44,0.005
ADDI,17,0.00336
HUME,17,0.05
CONS,61,0.008
CONS,37,0.003
SOL,4,0.0001
CGRA,25,0.01
EAU,4,0.6073
HUME,2,0.0342
HUME,21,0.04
GELI,75,0.032
EMUL,126,0.0175
MOUS,27,0.01
ACTI,7,0.05
HUIL,88,0.02
CGRA,68,0.04
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
HUME,20,0.02
EAU,3,0.05
ACTI,31,0.0003
ADDI,49,0.01
ACTI,25,0.02
ACTI,434,0.03
PARF,382,0.003
ADDI,1,0.0017
EAU,4,0.59555
HUME,2,0.03
GELI,18,0.0015
EMUL,114,0.04
EMUL,1,0.01
EMUL,53,0.01
FSOL,48,0.06
FSOL,5,0.06
FSOL,24,0.03
HUIL,54,0.01
FSOL,54,0.025
HUIL,161,0.005
SILI,3,0.02
ACTI,44,0.005
FSOL,55,0.025
HUME,16,0.02
CONS,37,0.003
CONS,56,0.002
ACTI,713,0.04
ADDI,62,0.0028
ADDI,102,0.0006
